iter	Passed	Remaining
782	1100	305
783	1103	303
784	1104	302
785	1106	301
786	1108	300
787	1111	298
788	1113	297
789	1115	296
790	1117	295
791	1119	294
792	1121	292
793	1123	291
794	1125	290
795	1127	288
796	1129	287
797	1131	286
798	1133	285
799	1135	283
800	1138	282
801	1140	281
802	1142	280
803	1144	279
804	1146	277
805	1148	276
806	1151	275
807	1153	274
808	1155	272
809	1157	271
810	1159	270
811	1161	268
812	1164	267
813	1166	266
814	1168	265
815	1170	263
816	1172	262
817	1174	261
818	1176	259
819	1177	258
820	1179	257
821	1181	255
822	1182	254
823	1183	252
824	1184	251
825	1185	249
826	1186	248
827	1187	246
828	1189	245
829	1190	243
830	1191	242
831	1192	240
832	1193	239
833	1194	237
834	1195	236
835	1196	234
836	1197	233
837	1198	231
838	1200	230
839	1201	228
840	1202	227
841	1203	225
842	1204	224
843	1205	222
844	1206	221
845	1207	219
846	1208	218
847	1209	216
848	1211	215
849	1212	213
850	1214	212
851	1215	211
852	1216	209
853	1217	208
854	1218	206
855	1220	205
856	1221	203
857	1222	202
858	1223	200
859	1224	199
860	1226	197
861	1227	196
862	1228	195
863	1230	193
864	1232	192
865	1234	190
866	1235	189
867	1236	188
868	1238	186
869	1239	185
870	1241	183
871	1244	182
872	1246	181
873	1247	179
874	1249	178
875	1251	177
876	1252	175
877	1254	174
878	1256	173
879	1258	171
880	1260	170
881	1262	168
882	1263	167
883	1264	165
884	1266	164
885	1268	163
886	1270	161
887	1272	160
888	1275	159
889	1277	157
890	1279	156
891	1281	155
892	1282	153
893	1284	152
894	1286	150
895	1288	149
896	1290	148
897	1292	146
898	1294	145
899	1296	144
900	1298	142
901	1300	141
902	1302	139
903	1304	138
904	1307	137
905	1309	135
906	1311	134
907	1313	133
908	1316	131
909	1318	130
910	1320	129
911	1322	127
912	1324	126
913	1327	124
914	1329	123
915	1331	122
916	1333	120
917	1335	119
918	1337	117
919	1339	116
920	1340	115
921	1342	113
922	1343	112
923	1345	110
924	1347	109
925	1349	107
926	1351	106
927	1353	105
928	1355	103
929	1358	102
930	1360	100
931	1362	99
932	1364	97
933	1365	96
934	1366	95
935	1367	93
936	1369	92
937	1370	90
938	1371	89
939	1372	87
940	1374	86
941	1375	84
942	1376	83
943	1377	81
944	1379	80
945	1380	78
946	1381	77
947	1382	75
948	1383	74
949	1384	72
950	1386	71
951	1387	69
952	1388	68
953	1389	66
954	1390	65
955	1391	64
956	1392	62
957	1393	61
958	1394	59
959	1395	58
960	1397	56
961	1398	55
962	1399	53
963	1400	52
964	1401	50
965	1402	49
966	1403	47
967	1405	46
968	1406	44
969	1407	43
970	1408	42
971	1409	40
972	1411	39
973	1413	37
974	1415	36
975	1416	34
976	1418	33
977	1420	31
978	1422	30
979	1424	29
980	1426	27
981	1427	26
982	1428	24
983	1429	23
984	1430	21
985	1432	20
986	1434	18
987	1436	17
988	1438	15
989	1440	14
990	1442	13
991	1444	11
992	1445	10
993	1447	8
994	1450	7
995	1452	5
996	1454	4
997	1456	2
998	1457	1
999	1460	0
