iter	RMSE
146	8180.645948
147	8119.792775
148	8102.161777
149	8079.884118
150	8032.63269
151	7971.895555
152	7940.46795
153	7870.254349
154	7786.97647
155	7723.767064
156	7674.804253
157	7598.593316
158	7521.199124
159	7452.999691
160	7426.121603
161	7392.18228
162	7348.104901
163	7286.849055
164	7264.876825
165	7190.016739
166	7137.653687
167	7064.398717
168	7001.114016
169	6985.352656
170	6961.326808
171	6919.11807
172	6904.193706
173	6867.219039
174	6833.949933
175	6773.269365
176	6722.051686
177	6660.151365
178	6619.998427
179	6597.057929
180	6562.712713
181	6519.699788
182	6489.359111
183	6443.288289
184	6427.264237
185	6390.615609
186	6347.220053
187	6324.801325
188	6293.336313
189	6250.156306
190	6208.816309
191	6157.665422
192	6106.439325
193	6060.572784
194	6027.124019
195	6013.450037
196	5965.326617
197	5942.246335
198	5900.192242
199	5851.154578
200	5833.208532
201	5813.622153
202	5759.806831
203	5747.036819
204	5736.552391
205	5693.233799
206	5681.117506
207	5669.270039
208	5639.272167
209	5616.315135
210	5589.720783
211	5562.311897
212	5528.056872
213	5485.642237
214	5437.887944
215	5401.696494
216	5373.256971
217	5329.195336
218	5288.532823
219	5256.898754
220	5229.270615
221	5206.461944
222	5195.595465
223	5170.998334
224	5144.889967
225	5132.386201
226	5123.077106
227	5088.361008
228	5061.127955
229	5029.235072
230	5008.06717
231	4983.636058
232	4965.559441
233	4941.577268
234	4934.645227
235	4919.47429
236	4899.800748
237	4879.301801
238	4846.655201
239	4814.81888
240	4804.060384
241	4797.736745
242	4766.678423
243	4743.847828
244	4734.586622
245	4717.106517
246	4708.684589
247	4681.715373
248	4661.736761
249	4642.795508
250	4632.335184
251	4624.036746
252	4616.12149
253	4586.953248
254	4560.293485
255	4554.13719
256	4547.371474
257	4537.518164
258	4529.352699
259	4522.43863
260	4514.56699
261	4499.210534
262	4491.564011
263	4477.054132
264	4453.703593
265	4427.095169
266	4422.059202
267	4409.912997
268	4385.192591
269	4374.787453
270	4349.463608
271	4342.116609
272	4328.961582
273	4304.976489
274	4281.48177
275	4257.464513
276	4235.225862
277	4225.462511
278	4220.976619
279	4197.871545
280	4193.641205
281	4190.100112
282	4162.682614
283	4153.646828
284	4150.213107
285	4138.502694
286	4127.809608
287	4105.875026
288	4097.920691
289	4076.784202
290	4068.156404
291	4049.684347
292	4036.043927
293	4015.455167
294	4001.975217
295	3981.948018
296	3977.53956
297	3968.377016
298	3956.153408
299	3939.006406
300	3922.455579
301	3914.533997
302	3898.509214
303	3894.87232
304	3876.967681
305	3860.805405
306	3857.792271
307	3853.422645
308	3846.875861
309	3838.213801
310	3817.400032
311	3805.914262
312	3794.88011
313	3776.294204
314	3772.462301
315	3756.647514
316	3753.42251
317	3749.714237
318	3744.991826
319	3724.262975
320	3707.985995
321	3702.123829
322	3699.464951
323	3694.446115
324	3687.921944
325	3676.170731
326	3672.768454
327	3667.428995
328	3655.884451
329	3646.193064
330	3633.456825
331	3630.977826
332	3617.905695
333	3611.440378
334	3607.330357
335	3604.917309
336	3602.250691
337	3589.704707
338	3574.996255
339	3566.223876
340	3561.202414
341	3557.332391
342	3548.749767
343	3535.603562
344	3531.154267
345	3516.398536
346	3513.938934
347	3496.932659
348	3484.300821
349	3475.609568
350	3472.31756
351	3459.081295
352	3445.660935
353	3441.250555
354	3427.179425
355	3413.368117
356	3402.610328
357	3398.65522
358	3387.97988
359	3374.028897
360	3367.036674
361	3350.824257
362	3348.364976
363	3345.302995
364	3335.764036
365	3332.109347
366	3328.17102
367	3325.247314
368	3315.001675
369	3308.638097
370	3305.780248
371	3287.760118
372	3273.82159
373	3260.251272
374	3257.961177
375	3249.294989
376	3247.371305
377	3244.463348
378	3234.641614
379	3231.772246
380	3222.278626
381	3215.48947
382	3206.71827
383	3197.385946
384	3194.65434
385	3191.98274
386	3186.871062
387	3179.251294
388	3165.147391
389	3162.146578
390	3160.182586
391	3154.290446
392	3151.694725
393	3142.400665
394	3128.465977
395	3119.921887
396	3109.198236
397	3100.078044
398	3094.524697
399	3085.278982
400	3082.843772
401	3074.44676
402	3070.185624
403	3057.91203
404	3047.408214
405	3035.80658
406	3024.865088
407	3022.535165
408	3009.851194
409	3001.52013
410	2990.246679
411	2987.433612
412	2982.667728
413	2980.448684
414	2978.72706
415	2976.89938
416	2970.928487
417	2960.569224
418	2956.303281
419	2954.868819
420	2942.92466
421	2937.919971
422	2935.86092
423	2931.654021
424	2929.226588
425	2923.647786
426	2914.938176
427	2903.705007
428	2891.712719
429	2890.061162
430	2888.239398
431	2877.765595
432	2863.363072
433	2861.668606
434	2859.905808
435	2853.769913
436	2852.055862
437	2849.700389
438	2838.356101
439	2831.847557
440	2821.001951
441	2819.239538
442	2813.927322
443	2802.747551
444	2793.169734
445	2786.059992
446	2780.177088
447	2775.932656
448	2773.015339
449	2765.778706
450	2762.71174
451	2760.873825
452	2754.131763
453	2745.681345
454	2739.757552
455	2732.509176
456	2728.110962
457	2718.832672
458	2712.011594
459	2710.426778
460	2700.73606
461	2694.53271
462	2686.548982
463	2680.938823
464	2679.429786
465	2675.187714
466	2672.662957
467	2668.641901
468	2656.892898
469	2655.419872
470	2646.070581
471	2638.641578
472	2637.059739
473	2626.067637
474	2617.434889
475	2611.714712
476	2604.369183
477	2597.268205
478	2588.952419
479	2587.427639
480	2577.936205
481	2573.378872
482	2565.710795
483	2558.492285
484	2557.443323
485	2550.911898
486	2545.331087
487	2536.873295
488	2528.275367
489	2522.479412
490	2515.640317
491	2513.503344
492	2508.071273
493	2506.600629
494	2502.564948
495	2496.87432
496	2492.893071
497	2485.510301
498	2478.326249
499	2473.161457
500	2467.365836
501	2465.916288
502	2459.55352
503	2452.190796
504	2450.690744
505	2444.899053
506	2438.852082
507	2437.23015
508	2435.572427
509	2433.514558
510	2426.478059
511	2419.99626
512	2413.546924
513	2412.247541
514	2408.009854
515	2406.788288
516	2401.207632
517	2393.014087
518	2387.54413
519	2384.028035
520	2375.757706
521	2370.452524
522	2369.253102
523	2368.027354
524	2363.541918
525	2357.551001
526	2356.414548
527	2348.741386
528	2347.621557
529	2346.441165
530	2339.892361
531	2338.155235
532	2337.357505
533	2336.369851
534	2335.29331
535	2332.157083
536	2324.251924
537	2319.179477
538	2316.970301
539	2313.98359
540	2308.715559
541	2305.85231
542	2299.000904
543	2291.858034
544	2290.834108
545	2284.102303
546	2277.48961
547	2270.421518
548	2264.158853
549	2263.09154
550	2258.449343
551	2252.907088
552	2245.988752
553	2242.383855
554	2236.783623
555	2235.734131
556	2231.420328
557	2226.881655
558	2219.86135
559	2215.085665
560	2209.448868
561	2202.593667
562	2201.496547
563	2195.619627
564	2192.817139
565	2189.776105
566	2188.850098
567	2185.497125
568	2183.380206
569	2182.400779
570	2175.896131
571	2171.475482
572	2166.989384
573	2162.999116
574	2159.020411
575	2155.208175
576	2149.73415
577	2148.123215
578	2141.881976
579	2135.523769
580	2133.769731
581	2128.398992
582	2123.477139
583	2118.771565
584	2114.643344
585	2110.083619
586	2106.54509
587	2102.593376
588	2098.795246
589	2093.140142
590	2089.333167
591	2086.042234
592	2084.797359
593	2078.435862
594	2074.085026
595	2070.875943
596	2067.382814
597	2063.263275
598	2058.517995
599	2055.096373
600	2053.288666
601	2051.557655
602	2050.537925
603	2046.772559
604	2043.833823
605	2040.322924
606	2037.399915
607	2035.697929
608	2030.555289
609	2026.581741
610	2024.723622
611	2023.855901
612	2020.99784
613	2017.677882
614	2011.578113
615	2009.839121
616	2005.903606
617	2002.423136
618	1998.346864
619	1995.209578
620	1992.340616
621	1989.73432
622	1986.15188
623	1984.029094
624	1982.408268
625	1981.582693
626	1975.481577
627	1972.964222
628	1970.711154
629	1967.325312
630	1963.179584
631	1960.08796
632	1955.940784
633	1951.577234
634	1950.779186
635	1947.972076
636	1944.318863
637	1941.098962
638	1938.224621
639	1936.715516
640	1935.9886
641	1929.698941
642	1925.940198
643	1921.675174
644	1919.293339
645	1917.328874
646	1913.230905
647	1910.333739
648	1910.158042
649	1908.271607
650	1905.203665
651	1902.643446
652	1898.930634
653	1897.915525
654	1896.349416
655	1894.193762
656	1890.512555
657	1885.105902
658	1881.103852
659	1878.64546
660	1875.986557
661	1874.657519
662	1871.967392
663	1867.793664
664	1866.399242
665	1862.442866
666	1857.136767
667	1852.866946
668	1851.464335
669	1848.267606
670	1844.396292
671	1841.925253
672	1839.15681
673	1837.771558
674	1836.337918
675	1832.259816
676	1829.013856
677	1827.062374
678	1824.801957
679	1820.35046
680	1817.350846
681	1815.333041
682	1813.251445
683	1811.462433
684	1806.756043
685	1802.823296
686	1800.155345
687	1797.943177
688	1795.594323
689	1794.829159
690	1793.496435
691	1791.372324
692	1785.959389
693	1784.294289
694	1780.048947
695	1777.820102
696	1774.380937
697	1770.450302
698	1765.417241
699	1763.44402
700	1760.312445
701	1759.10835
702	1756.218588
703	1754.92773
704	1750.444522
705	1745.744572
706	1743.523422
707	1738.641742
708	1735.110929
709	1733.310904
710	1730.24294
711	1728.133935
712	1727.565414
713	1725.983248
714	1722.763869
715	1720.908266
716	1717.967227
717	1711.845274
718	1706.994788
719	1703.839624
720	1700.778836
721	1694.628439
722	1692.601382
723	1688.793355
724	1685.594442
725	1683.525463
726	1679.870161
727	1677.306289
728	1674.854869
729	1672.50881
730	1671.881366
731	1670.702503
732	1670.018006
733	1668.295116
734	1667.524288
735	1663.064428
736	1660.869792
737	1656.539573
738	1654.92081
739	1653.568717
740	1652.176317
741	1650.74581
742	1646.702354
743	1645.15474
744	1643.878669
745	1639.587901
746	1636.539663
747	1633.471828
748	1632.221769
749	1630.755455
750	1629.691475
751	1625.039025
752	1619.810957
753	1619.331534
754	1616.594718
755	1614.745416
756	1612.655112
757	1611.9929
758	1611.441754
759	1606.728598
760	1603.647749
761	1601.214839
762	1598.578291
763	1597.014855
764	1596.433647
765	1596.013739
766	1591.451231
767	1590.009404
768	1585.081576
769	1580.697428
770	1578.824458
771	1578.698775
772	1575.215185
773	1574.64578
774	1571.936071
775	1567.789452
776	1564.188867
777	1561.600823
778	1559.926023
779	1555.682964
780	1555.292381
781	1551.819276
782	1547.646519
783	1546.762219
784	1543.212976
785	1541.484949
786	1539.959689
787	1539.223932
788	1537.082241
789	1534.12768
790	1532.069974
791	1529.317925
792	1526.219661
793	1524.716704
794	1524.596925
795	1523.757666
796	1521.937373
797	1518.602324
798	1514.675328
799	1511.729343
800	1508.890397
801	1507.87497
802	1507.126212
803	1506.088592
804	1505.880942
805	1504.054536
806	1502.756243
807	1501.245922
808	1498.617234
809	1497.213155
810	1494.389825
811	1493.33589
812	1490.132598
813	1486.944381
814	1485.240783
815	1483.290141
816	1479.832787
817	1477.317781
818	1475.292988
819	1472.044405
820	1468.834654
821	1465.933985
822	1463.917114
823	1463.81626
824	1461.892511
825	1460.41455
826	1458.726114
827	1456.011072
828	1454.335536
829	1453.207845
830	1450.509492
831	1450.091089
832	1446.73311
833	1446.168775
834	1445.251163
835	1443.885164
836	1442.901667
837	1442.317708
838	1438.840926
839	1437.231137
840	1434.858727
841	1431.367147
842	1429.768443
843	1426.514418
844	1423.605425
845	1421.144386
846	1420.784181
847	1417.364895
848	1416.757081
849	1413.834597
850	1412.391481
851	1411.168125
852	1409.880521
853	1407.513593
854	1407.35553
855	1404.486977
856	1404.13638
857	1402.662704
858	1400.752913
859	1399.473322
860	1399.364847
861	1396.45708
862	1393.733959
863	1393.155778
864	1391.536137
865	1388.628976
866	1387.351498
867	1386.750025
868	1386.424244
869	1385.006371
870	1382.667531
871	1381.956952
872	1381.858257
873	1381.77967
874	1379.719862
875	1379.619879
876	1377.022599
877	1375.657874
878	1374.981568
879	1374.538582
880	1371.319214
881	1369.440334
882	1368.858112
883	1368.769137
884	1367.292111
885	1366.590727
886	1365.679078
887	1361.679552
888	1360.655372
889	1359.258408
890	1357.442006
891	1355.842473
892	1353.055777
893	1352.250792
894	1348.912111
895	1348.016015
896	1346.428339
897	1344.131133
898	1343.909801
899	1342.185043
900	1341.456422
901	1340.167437
902	1339.086712
903	1337.423852
904	1333.900667
905	1332.54958
906	1329.498839
907	1329.17162
908	1326.632864
909	1325.935263
910	1324.90475
911	1323.603106
912	1322.91786
913	1320.312644
914	1317.968815
915	1315.2507
916	1313.690768
917	1313.032588
918	1312.490937
919	1311.372831
920	1308.772266
921	1306.328838
922	1303.837179
923	1302.240404
924	1301.623024
925	1299.218862
926	1298.253345
927	1297.375764
928	1295.774612
929	1294.403315
930	1293.780763
931	1291.039002
932	1290.887861
933	1289.123519
934	1288.48102
935	1286.151302
936	1284.955473
937	1284.454678
938	1281.393882
939	1279.436977
940	1278.33164
941	1275.346588
942	1274.592679
943	1273.269399
944	1271.708356
945	1269.431222
946	1268.7084
947	1267.042676
948	1264.877381
949	1264.796112
950	1264.067564
951	1263.462016
952	1262.157212
953	1260.849788
954	1257.967707
955	1256.057395
956	1253.454577
957	1252.788882
958	1252.30526
959	1250.140508
960	1247.707808
961	1245.343642
962	1242.957098
963	1241.844729
964	1239.317865
965	1237.914043
966	1235.953394
967	1234.134962
968	1233.022828
969	1231.342927
970	1228.740679
971	1228.470258
972	1227.650391
973	1225.213782
974	1224.173103
975	1223.587415
976	1221.762983
977	1221.247763
978	1219.488621
979	1219.180108
980	1219.102489
981	1218.096508
982	1215.612849
983	1214.459799
984	1212.975884
985	1212.085159
986	1211.573453
987	1209.492782
988	1207.201989
989	1204.661291
990	1203.462395
991	1201.740676
992	1201.185806
993	1199.416309
994	1197.729376
995	1197.654162
996	1196.54433
997	1194.799642
998	1193.41469
999	1191.222621
